[INFO] 	Epoll::Epoll epoll_fd:3	 SPID:220906	 time: 2024-08-09 17:27:27
[INFO] 	Channel::enablereading-5	 SPID:220906	 time: 2024-08-09 17:27:27
[INFO] 	Epoll::updateChannel-EPOLL_CTL_ADD fd-5 m_fd3	 SPID:220906	 time: 2024-08-09 17:27:27
[INFO] 	Channel::enablereading-6	 SPID:220906	 time: 2024-08-09 17:27:27
[INFO] 	Epoll::updateChannel-EPOLL_CTL_ADD fd-6 m_fd3	 SPID:220906	 time: 2024-08-09 17:27:27
[DEBUG] 	ThreadPool::ThreadPool() type:0	 SPID:220906	 time: 2024-08-09 17:27:27
[INFO] 	Channel::enablereading-7	 SPID:220906	 time: 2024-08-09 17:27:27
[INFO] 	Epoll::updateChannel-EPOLL_CTL_ADD fd-7 m_fd3	 SPID:220906	 time: 2024-08-09 17:27:27
[INFO] 	TcpServer::TcpServer	 SPID:220906	 time: 2024-08-09 17:27:27
[INFO] 	Epoll::Epoll epoll_fd:8	 SPID:220906	 time: 2024-08-09 17:27:27
[INFO] 	Channel::enablereading-9	 SPID:220906	 time: 2024-08-09 17:27:27
[INFO] 	Epoll::updateChannel-EPOLL_CTL_ADD fd-9 m_fd8	 SPID:220906	 time: 2024-08-09 17:27:27
[INFO] 	Channel::enablereading-10	 SPID:220906	 time: 2024-08-09 17:27:27
[INFO] 	Epoll::updateChannel-EPOLL_CTL_ADD fd-10 m_fd8	 SPID:220906	 time: 2024-08-09 17:27:27
[INFO] 	EchoServer::EchoServer	 SPID:220906	 time: 2024-08-09 17:27:27
[INFO] 	EchoServer::Start	 SPID:220906	 time: 2024-08-09 17:27:27
[INFO] 	TcpServer::start	 SPID:220906	 time: 2024-08-09 17:27:27
[INFO] 	ThreadPool::enqueueTask	 SPID:220906	 time: 2024-08-09 17:27:27
[DEBUG] 	main loop start	 SPID:220907	 time: 2024-08-09 17:27:27
[INFO] 	Epoll::loop	 SPID:220907	 time: 2024-08-09 17:27:27
[DEBUG] 	main loop start	 SPID:220906	 time: 2024-08-09 17:27:27
[INFO] 	Epoll::loop	 SPID:220906	 time: 2024-08-09 17:27:27
[INFO] 	EchoServer::Stop	 SPID:220906	 time: 2024-08-09 17:27:30
[INFO] 	ThreadPool::~ThreadPool()	 SPID:220906	 time: 2024-08-09 17:27:30
[INFO] 	TcpServer::stop	 SPID:220906	 time: 2024-08-09 17:27:30
[INFO] 	EventLoop::Stop()	 SPID:220906	 time: 2024-08-09 17:27:30
[INFO] 	EventLoop::Stop()	 SPID:220906	 time: 2024-08-09 17:27:30
[INFO] 	ThreadPool::~ThreadPool()	 SPID:220906	 time: 2024-08-09 17:27:30
[INFO] 	Channel::handleEvent-EPOLLIN | EPOLLPRI-9	 SPID:220907	 time: 2024-08-09 17:27:30
[INFO] 	ThreadPool::~ThreadPool()	 SPID:220906	 time: 2024-08-09 17:27:30
[INFO] 	TcpServer::~TcpServer	 SPID:220906	 time: 2024-08-09 17:27:30
[INFO] 	ThreadPool::~ThreadPool()	 SPID:220906	 time: 2024-08-09 17:27:30
[INFO] 	receive signal:2	 SPID:220906	 time: 2024-08-09 17:27:30
